 nu\J         1        2        3        4        5        6        7        8        9       10       11
     0 0.00E+00 0.51E-07 0.49E-06 0.17E-05 0.41E-05 0.79E-05 0.13E-04 0.20E-04 0.29E-04 0.39E-04 0.50E-04
     1 0.33E-04 0.34E-04 0.37E-04 0.41E-04 0.48E-04 0.56E-04 0.66E-04 0.78E-04 0.91E-04 0.10E-03 0.12E-03
     2 0.82E-04 0.84E-04 0.89E-04 0.97E-04 0.11E-03 0.12E-03 0.13E-03 0.15E-03 0.17E-03 0.18E-03 0.20E-03
     3 0.15E-03 0.15E-03 0.16E-03 0.17E-03 0.18E-03 0.20E-03 0.21E-03 0.23E-03 0.25E-03 0.27E-03 0.28E-03
     4 0.22E-03 0.21E-03 0.23E-03 0.25E-03 0.26E-03 0.28E-03 0.29E-03 0.32E-03 0.34E-03 0.36E-03 0.37E-03
     5 0.30E-03 0.30E-03 0.31E-03 0.33E-03 0.34E-03 0.36E-03 0.39E-03 0.41E-03 0.43E-03 0.45E-03 0.45E-03
     6 0.37E-03 0.37E-03 0.38E-03 0.40E-03 0.42E-03 0.44E-03 0.47E-03 0.49E-03 0.51E-03 0.53E-03 0.53E-03
     7 0.43E-03 0.44E-03 0.45E-03 0.47E-03 0.49E-03 0.51E-03 0.54E-03 0.56E-03 0.59E-03 0.60E-03 0.60E-03
     8 0.48E-03 0.49E-03 0.50E-03 0.52E-03 0.54E-03 0.57E-03 0.60E-03 0.40E+01 0.64E-03 0.66E-03 0.64E-03
     9 0.53E-03 0.53E-03 0.55E-03 0.56E-03 0.59E-03 0.61E-03 0.63E-03 0.58E-03 0.67E-03 0.69E-03 0.67E-03
    10 0.56E-03 0.56E-03 0.58E-03 0.59E-03 0.61E-03 0.63E-03 0.65E-03 0.67E-03 0.69E-03 0.70E-03 0.67E-03
    11 0.57E-03 0.58E-03 0.59E-03 0.60E-03 0.62E-03 0.63E-03 0.65E-03 0.66E-03 0.67E-03 0.68E-03 0.64E-03
    12 0.56E-03 0.57E-03 0.58E-03 0.59E-03 0.60E-03 0.61E-03 0.62E-03 0.63E-03 0.63E-03 0.24E+01 0.58E-03
    13 0.53E-03 0.53E-03 0.53E-03 0.54E-03 0.55E-03 0.55E-03 0.56E-03 0.55E-03 0.55E-03 0.53E-03 0.48E-03
    14 0.46E-03 0.45E-03 0.46E-03 0.46E-03 0.46E-03 0.46E-03 0.45E-03 0.44E-03 0.42E-03 0.39E-03 0.34E-03
